,input,output,gt
116,116," orderIf I don't get outta bed I won't have to deal with this stupid headache that keeps coming..
reframed:I may have a headache from the stupid headache that keeps coming, but I will go to sleep and rest for a while and deal with it as I am strong.","original_text          Um, help. I have an exam and my prof is late. ...
reframed_text          Professors really need to start communicating ...
strategy                                                ['neutralizing']
original_with_label    Um, help. I have an exam and my prof is late. ...
Name: 116, dtype: object"
117,117," orderIf I don't get outta bed I won't have to deal with this stupid headache that keeps coming..
reframed:I may have a headache from the stupid headache that keeps coming, but I will go to sleep and rest for a while and deal with it as I am strong.","original_text          How do you manage a big move to a new house wi...
reframed_text          It is a challenge with an autistic child but w...
strategy                                                ['thankfulness']
original_with_label    How do you manage a big move to a new house wi...
Name: 117, dtype: object"
118,118," orderIf I don't get outta bed I won't have to deal with this stupid headache that keeps coming..
reframed:I may have a headache from the stupid headache that keeps coming, but I will go to sleep and rest for a while and deal with it as I am strong.","original_text          waking up nauseous<;<; and skipping an 8am to ...
reframed_text          I will not let these nausea harm me in my exam...
strategy                                          ['growth', 'optimism']
original_with_label    waking up nauseous<;<; and skipping an 8am to ...
Name: 118, dtype: object"
119,119," orderIf I don't get outta bed I won't have to deal with this stupid headache that keeps coming..
reframed:I may have a headache from the stupid headache that keeps coming, but I will go to sleep and rest for a while and deal with it as I am strong.","original_text          Tomorrow's going to be a long day. I'm going t...
reframed_text          Tomorrow will be stressful mentally and physic...
strategy                                                    ['optimism']
original_with_label    Tomorrow's going to be a long day. I'm going t...
Name: 119, dtype: object"
120,120," orderIf I don't get outta bed I won't have to deal with this stupid headache that keeps coming..
reframed:I may have a headache from the stupid headache that keeps coming, but I will go to sleep and rest for a while and deal with it as I am strong.","original_text          Gotta get at least 2 1/2-3 pages of this paper...
reframed_text          Just gotta get 2 1/2-3 pages of this paper don...
strategy                                                    ['optimism']
original_with_label    Gotta get at least 2 1/2-3 pages of this paper...
Name: 120, dtype: object"
121,121," orderIf I don't get outta bed I won't have to deal with this stupid headache that keeps coming..
reframed:I may have a headache from the stupid headache that keeps coming, but I will go to sleep and rest for a while and deal with it as I am strong.","original_text          I'm so close to finishing this class but if I ...
reframed_text          I only have to finish this small class to fini...
strategy                            ['impermanence', 'self_affirmation']
original_with_label    I'm so close to finishing this class but if I ...
Name: 121, dtype: object"
122,122," orderIf I don't get outta bed I won't have to deal with this stupid headache that keeps coming..
reframed:I may have a headache from the stupid headache that keeps coming, but I will go to sleep and rest for a while and deal with it as I am strong.","original_text          This work day seriously just needs to be over,...
reframed_text               After 3 o'clock, this work day will be over!
strategy                                    ['impermanence', 'optimism']
original_with_label    This work day seriously just needs to be over,...
Name: 122, dtype: object"
123,123," orderIf I don't get outta bed I won't have to deal with this stupid headache that keeps coming..
reframed:I may have a headache from the stupid headache that keeps coming, but I will go to sleep and rest for a while and deal with it as I am strong.","original_text          a glass of wine, a mindless magazine and a bub...
reframed_text          I'm going to have a wonderful time tonight wit...
strategy                                                ['neutralizing']
original_with_label    a glass of wine, a mindless magazine and a bub...
Name: 123, dtype: object"
124,124," orderIf I don't get outta bed I won't have to deal with this stupid headache that keeps coming..
reframed:I may have a headache from the stupid headache that keeps coming, but I will go to sleep and rest for a while and deal with it as I am strong.","original_text          My day usually consists of a series of small p...
reframed_text          My day usually consists of a series of small p...
strategy                                ['neutralizing', 'thankfulness']
original_with_label    My day usually consists of a series of small p...
Name: 124, dtype: object"
125,125," orderIf I don't get outta bed I won't have to deal with this stupid headache that keeps coming..
reframed:I may have a headache from the stupid headache that keeps coming, but I will go to sleep and rest for a while and deal with it as I am strong.","original_text          I'm sooooooo going to be screwed for the admin...
reframed_text          I'm going to study until I feel more confident...
strategy                                                      ['growth']
original_with_label    I'm sooooooo going to be screwed for the admin...
Name: 125, dtype: object"
126,126," orderIf I don't get outta bed I won't have to deal with this stupid headache that keeps coming..
reframed:I may have a headache from the stupid headache that keeps coming, but I will go to sleep and rest for a while and deal with it as I am strong.","original_text          Why cant I just catch a break? Just for a litt...
reframed_text                      My life will get so much better soon.
strategy                                                    ['optimism']
original_with_label    Why cant I just catch a break? Just for a litt...
Name: 126, dtype: object"
127,127," orderIf I don't get outta bed I won't have to deal with this stupid headache that keeps coming..
reframed:I may have a headache from the stupid headache that keeps coming, but I will go to sleep and rest for a while and deal with it as I am strong.","original_text          Definitely need to start staying at my friends...
reframed_text          I am thankful I have a friend I can stay at si...
strategy                                                ['thankfulness']
original_with_label    Definitely need to start staying at my friends...
Name: 127, dtype: object"
128,128," orderIf I don't get outta bed I won't have to deal with this stupid headache that keeps coming..
reframed:I may have a headache from the stupid headache that keeps coming, but I will go to sleep and rest for a while and deal with it as I am strong.","original_text          Wow. I'm sorry for trying to finish all my wor...
reframed_text          I'm sorry for trying to finish all my work I m...
strategy                            ['self_affirmation', 'thankfulness']
original_with_label    Wow. I'm sorry for trying to finish all my wor...
Name: 128, dtype: object"
129,129," orderIf I don't get outta bed I won't have to deal with this stupid headache that keeps coming..
reframed:I may have a headache from the stupid headache that keeps coming, but I will go to sleep and rest for a while and deal with it as I am strong.","original_text          Seriously wishing I would get sick so I can ca...
reframed_text                I will enjoy my night after I get off work.
strategy                                                    ['optimism']
original_with_label    Seriously wishing I would get sick so I can ca...
Name: 129, dtype: object"
130,130," orderIf I don't get outta bed I won't have to deal with this stupid headache that keeps coming..
reframed:I may have a headache from the stupid headache that keeps coming, but I will go to sleep and rest for a while and deal with it as I am strong.","original_text          my uni should allow all the freshers to get wr...
reframed_text          Even though I wasn't able to get a wristband f...
strategy                                          ['growth', 'optimism']
original_with_label    my uni should allow all the freshers to get wr...
Name: 130, dtype: object"
131,131," orderIf I don't get outta bed I won't have to deal with this stupid headache that keeps coming..
reframed:I may have a headache from the stupid headache that keeps coming, but I will go to sleep and rest for a while and deal with it as I am strong.","original_text          This life has got me rundown and spinning out ...
reframed_text          I am exhausted in life, but I wish to hold on ...
strategy                                                    ['optimism']
original_with_label    This life has got me rundown and spinning out ...
Name: 131, dtype: object"
132,132," orderIf I don't get outta bed I won't have to deal with this stupid headache that keeps coming..
reframed:I may have a headache from the stupid headache that keeps coming, but I will go to sleep and rest for a while and deal with it as I am strong.","original_text          I absolutely love stage dooring to see my incr...
reframed_text          The awkward waiting might be discomforting but...
strategy                                                ['thankfulness']
original_with_label    I absolutely love stage dooring to see my incr...
Name: 132, dtype: object"
133,133," orderIf I don't get outta bed I won't have to deal with this stupid headache that keeps coming..
reframed:I may have a headache from the stupid headache that keeps coming, but I will go to sleep and rest for a while and deal with it as I am strong.","original_text          Feel like crying, this math class is impossibl...
reframed_text          This math class is hard, and my teacher gives ...
strategy                ['neutralizing', 'optimism', 'self_affirmation']
original_with_label    Feel like crying, this math class is impossibl...
Name: 133, dtype: object"
134,134," orderIf I don't get outta bed I won't have to deal with this stupid headache that keeps coming..
reframed:I may have a headache from the stupid headache that keeps coming, but I will go to sleep and rest for a while and deal with it as I am strong.","original_text          Just managed to book a return ferry crossing f...
reframed_text          While there are thousands of people trying to ...
strategy                                                    ['optimism']
original_with_label    Just managed to book a return ferry crossing f...
Name: 134, dtype: object"
135,135," orderIf I don't get outta bed I won't have to deal with this stupid headache that keeps coming..
reframed:I may have a headache from the stupid headache that keeps coming, but I will go to sleep and rest for a while and deal with it as I am strong.","original_text          So much work to do today :( and I still have t...
reframed_text          I'll have to schedule carefully to have time f...
strategy                                      ['growth', 'neutralizing']
original_with_label    So much work to do today :( and I still have t...
Name: 135, dtype: object"
136,136," orderIf I don't get outta bed I won't have to deal with this stupid headache that keeps coming..
reframed:I may have a headache from the stupid headache that keeps coming, but I will go to sleep and rest for a while and deal with it as I am strong.","original_text          Just so ready to be done with school and move ...
reframed_text          Looking to relocate to another state for highe...
strategy                                ['impermanence', 'neutralizing']
original_with_label    Just so ready to be done with school and move ...
Name: 136, dtype: object"
137,137," orderIf I don't get outta bed I won't have to deal with this stupid headache that keeps coming..
reframed:I may have a headache from the stupid headache that keeps coming, but I will go to sleep and rest for a while and deal with it as I am strong.","original_text          6 hours sleep in a 72 hour period Not eaten in...
reframed_text          I’ve had a migraine, only 6 hours sleep and no...
strategy                                                    ['optimism']
original_with_label    6 hours sleep in a 72 hour period Not eaten in...
Name: 137, dtype: object"
138,138," orderIf I don't get outta bed I won't have to deal with this stupid headache that keeps coming..
reframed:I may have a headache from the stupid headache that keeps coming, but I will go to sleep and rest for a while and deal with it as I am strong.","original_text          ff hope you gave the ironing a crack and feel ...
reframed_text                            We should be always optimistic.
strategy                                                    ['optimism']
original_with_label    ff hope you gave the ironing a crack and feel ...
Name: 138, dtype: object"
139,139," orderIf I don't get outta bed I won't have to deal with this stupid headache that keeps coming..
reframed:I may have a headache from the stupid headache that keeps coming, but I will go to sleep and rest for a while and deal with it as I am strong.","original_text          The recklessness at work right now means.. I'm...
reframed_text          Hanging out with my friends bring me a piece o...
strategy                                          ['growth', 'optimism']
original_with_label    The recklessness at work right now means.. I'm...
Name: 139, dtype: object"
140,140," orderIf I don't get outta bed I won't have to deal with this stupid headache that keeps coming..
reframed:I may have a headache from the stupid headache that keeps coming, but I will go to sleep and rest for a while and deal with it as I am strong.","original_text          Our heat shock pencils turn bright orange when...
reframed_text          Even though I am stressed at least there are t...
strategy                                                    ['optimism']
original_with_label    Our heat shock pencils turn bright orange when...
Name: 140, dtype: object"
141,141," orderIf I don't get outta bed I won't have to deal with this stupid headache that keeps coming..
reframed:I may have a headache from the stupid headache that keeps coming, but I will go to sleep and rest for a while and deal with it as I am strong.","original_text          Depressed! Going to fail my College Algebra Fi...
reframed_text          Feeling really anxious about my Algebra Final ...
strategy                                    ['neutralizing', 'optimism']
original_with_label    Depressed! Going to fail my College Algebra Fi...
Name: 141, dtype: object"
142,142," orderIf I don't get outta bed I won't have to deal with this stupid headache that keeps coming..
reframed:I may have a headache from the stupid headache that keeps coming, but I will go to sleep and rest for a while and deal with it as I am strong.","original_text          I envy month end at work! Bein told to 'turn m...
reframed_text          Finding work really hard at the moment but I k...
strategy                                          ['growth', 'optimism']
original_with_label    I envy month end at work! Bein told to 'turn m...
Name: 142, dtype: object"
143,143," orderIf I don't get outta bed I won't have to deal with this stupid headache that keeps coming..
reframed:I may have a headache from the stupid headache that keeps coming, but I will go to sleep and rest for a while and deal with it as I am strong.","original_text          How are you supposed to find a job when they a...
reframed_text          It's hard to find a job when they all require ...
strategy                                                    ['optimism']
original_with_label    How are you supposed to find a job when they a...
Name: 143, dtype: object"
144,144," orderIf I don't get outta bed I won't have to deal with this stupid headache that keeps coming..
reframed:I may have a headache from the stupid headache that keeps coming, but I will go to sleep and rest for a while and deal with it as I am strong.","original_text          Would love to know what I'm doing wrong to not...
reframed_text          I'm not receiving any callbacks for my job app...
strategy                                      ['growth', 'neutralizing']
original_with_label    Would love to know what I'm doing wrong to not...
Name: 144, dtype: object"
145,145," orderIf I don't get outta bed I won't have to deal with this stupid headache that keeps coming..
reframed:I may have a headache from the stupid headache that keeps coming, but I will go to sleep and rest for a while and deal with it as I am strong.","original_text          I'm sorry but my type A personality requires a...
reframed_text          Despite my type A personality, I'll function a...
strategy                                                ['neutralizing']
original_with_label    I'm sorry but my type A personality requires a...
Name: 145, dtype: object"
146,146," orderIf I don't get outta bed I won't have to deal with this stupid headache that keeps coming..
reframed:I may have a headache from the stupid headache that keeps coming, but I will go to sleep and rest for a while and deal with it as I am strong.","original_text          Can't even chill after exams are done as got a...
reframed_text          I am yet to do a 2500 essay for mid feb, so I ...
strategy                    ['impermanence', 'neutralizing', 'optimism']
original_with_label    Can't even chill after exams are done as got a...
Name: 146, dtype: object"
147,147," orderIf I don't get outta bed I won't have to deal with this stupid headache that keeps coming..
reframed:I may have a headache from the stupid headache that keeps coming, but I will go to sleep and rest for a while and deal with it as I am strong.","original_text          I think the other night might be on the same l...
reframed_text          Even though there's been lots of drama lately,...
strategy                                    ['optimism', 'thankfulness']
original_with_label    I think the other night might be on the same l...
Name: 147, dtype: object"
148,148," orderIf I don't get outta bed I won't have to deal with this stupid headache that keeps coming..
reframed:I may have a headache from the stupid headache that keeps coming, but I will go to sleep and rest for a while and deal with it as I am strong.","original_text          This week has seriously kicked my ass. I'm eit...
reframed_text          Sometimes I have to let myself go through life...
strategy                                ['optimism', 'self_affirmation']
original_with_label    This week has seriously kicked my ass. I'm eit...
Name: 148, dtype: object"
149,149," orderIf I don't get outta bed I won't have to deal with this stupid headache that keeps coming..
reframed:I may have a headache from the stupid headache that keeps coming, but I will go to sleep and rest for a while and deal with it as I am strong.","original_text          If I don't die from an anxiety attack in the n...
reframed_text          I hope to survive a possible anxiety attack in...
strategy                                                    ['optimism']
original_with_label    If I don't die from an anxiety attack in the n...
Name: 149, dtype: object"
150,150," orderIf I don't get outta bed I won't have to deal with this stupid headache that keeps coming..
reframed:I may have a headache from the stupid headache that keeps coming, but I will go to sleep and rest for a while and deal with it as I am strong.","original_text          my brain is constantly thinking and mentally a...
reframed_text          I should take my mind off of how my living spa...
strategy                                                ['neutralizing']
original_with_label    my brain is constantly thinking and mentally a...
Name: 150, dtype: object"
151,151," orderIf I don't get outta bed I won't have to deal with this stupid headache that keeps coming..
reframed:I may have a headache from the stupid headache that keeps coming, but I will go to sleep and rest for a while and deal with it as I am strong.","original_text          Wanting to crawl up under my zebra blanket and...
reframed_text          It's been a tough time, but thankfully the end...
strategy                                                ['thankfulness']
original_with_label    Wanting to crawl up under my zebra blanket and...
Name: 151, dtype: object"
152,152," orderIf I don't get outta bed I won't have to deal with this stupid headache that keeps coming..
reframed:I may have a headache from the stupid headache that keeps coming, but I will go to sleep and rest for a while and deal with it as I am strong.","original_text          In the next week I have to watch 5 Harry potte...
reframed_text          The next week seems to be lined with activitie...
strategy                                            ['self_affirmation']
original_with_label    In the next week I have to watch 5 Harry potte...
Name: 152, dtype: object"
153,153," orderIf I don't get outta bed I won't have to deal with this stupid headache that keeps coming..
reframed:I may have a headache from the stupid headache that keeps coming, but I will go to sleep and rest for a while and deal with it as I am strong.","original_text          past papers are 2 hours long, they take an ext...
reframed_text          I'm pretty sure that If I keep studying I will...
strategy                          ['growth', 'impermanence', 'optimism']
original_with_label    past papers are 2 hours long, they take an ext...
Name: 153, dtype: object"
154,154," orderIf I don't get outta bed I won't have to deal with this stupid headache that keeps coming..
reframed:I may have a headache from the stupid headache that keeps coming, but I will go to sleep and rest for a while and deal with it as I am strong.","original_text          if this struggle to pick classes is any indica...
reframed_text          Picking classes is challenging for me. Next ti...
strategy                                                      ['growth']
original_with_label    if this struggle to pick classes is any indica...
Name: 154, dtype: object"
155,155," orderIf I don't get outta bed I won't have to deal with this stupid headache that keeps coming..
reframed:I may have a headache from the stupid headache that keeps coming, but I will go to sleep and rest for a while and deal with it as I am strong.","original_text          Even though days aren't what I expected I stil...
reframed_text          Even though the day was not so good, I thank y...
strategy                                    ['optimism', 'thankfulness']
original_with_label    Even though days aren't what I expected I stil...
Name: 155, dtype: object"
156,156," orderIf I don't get outta bed I won't have to deal with this stupid headache that keeps coming..
reframed:I may have a headache from the stupid headache that keeps coming, but I will go to sleep and rest for a while and deal with it as I am strong.","original_text          This week is crazy. I have soooo much to do an...
reframed_text          Today I'm going to really learn how to juggle ...
strategy                                                      ['growth']
original_with_label    This week is crazy. I have soooo much to do an...
Name: 156, dtype: object"
157,157," orderIf I don't get outta bed I won't have to deal with this stupid headache that keeps coming..
reframed:I may have a headache from the stupid headache that keeps coming, but I will go to sleep and rest for a while and deal with it as I am strong.","original_text          I need 13 years of solid sleep, 3 pitchers of ...
reframed_text          I'm looking forward to getting some sleep and ...
strategy                                                    ['optimism']
original_with_label    I need 13 years of solid sleep, 3 pitchers of ...
Name: 157, dtype: object"
158,158," orderIf I don't get outta bed I won't have to deal with this stupid headache that keeps coming..
reframed:I may have a headache from the stupid headache that keeps coming, but I will go to sleep and rest for a while and deal with it as I am strong.","original_text          NOT IN THE MOOD. Stupid statuses on facebook =...
reframed_text          Facebook statuses can be annoying sometimes bu...
strategy                                                ['neutralizing']
original_with_label    NOT IN THE MOOD. Stupid statuses on facebook =...
Name: 158, dtype: object"
159,159," orderIf I don't get outta bed I won't have to deal with this stupid headache that keeps coming..
reframed:I may have a headache from the stupid headache that keeps coming, but I will go to sleep and rest for a while and deal with it as I am strong.","original_text          Also hate the feeling when you love someone bu...
reframed_text          I know I will find someone who loves me, even ...
strategy                                    ['impermanence', 'optimism']
original_with_label    Also hate the feeling when you love someone bu...
Name: 159, dtype: object"
160,160," orderIf I don't get outta bed I won't have to deal with this stupid headache that keeps coming..
reframed:I may have a headache from the stupid headache that keeps coming, but I will go to sleep and rest for a while and deal with it as I am strong.","original_text          I apply for jobs. Then i apply for jobs. When ...
reframed_text          I have a lot of job applications out there, an...
strategy                                                    ['optimism']
original_with_label    I apply for jobs. Then i apply for jobs. When ...
Name: 160, dtype: object"
161,161," orderIf I don't get outta bed I won't have to deal with this stupid headache that keeps coming..
reframed:I may have a headache from the stupid headache that keeps coming, but I will go to sleep and rest for a while and deal with it as I am strong.","original_text          I officially hate drawing trees and I have to ...
reframed_text          I don’t like to draw trees, but I think a good...
strategy                                    ['neutralizing', 'optimism']
original_with_label    I officially hate drawing trees and I have to ...
Name: 161, dtype: object"
162,162," orderIf I don't get outta bed I won't have to deal with this stupid headache that keeps coming..
reframed:I may have a headache from the stupid headache that keeps coming, but I will go to sleep and rest for a while and deal with it as I am strong.","original_text          Nights like tonight make me miss having someon...
reframed_text          What a beautiful night, it's a pleasure to be ...
strategy                                                ['impermanence']
original_with_label    Nights like tonight make me miss having someon...
Name: 162, dtype: object"
163,163," orderIf I don't get outta bed I won't have to deal with this stupid headache that keeps coming..
reframed:I may have a headache from the stupid headache that keeps coming, but I will go to sleep and rest for a while and deal with it as I am strong.","original_text          If I get through the next two weeks without go...
reframed_text          I have a lot of work for the next two weeks bu...
strategy                                    ['neutralizing', 'optimism']
original_with_label    If I get through the next two weeks without go...
Name: 163, dtype: object"
164,164," orderIf I don't get outta bed I won't have to deal with this stupid headache that keeps coming..
reframed:I may have a headache from the stupid headache that keeps coming, but I will go to sleep and rest for a while and deal with it as I am strong.","original_text          i would do some really questionable, terrible ...
reframed_text          I would go to great lengths for a deep tissue ...
strategy                                                ['neutralizing']
original_with_label    i would do some really questionable, terrible ...
Name: 164, dtype: object"
165,165," orderIf I don't get outta bed I won't have to deal with this stupid headache that keeps coming..
reframed:I may have a headache from the stupid headache that keeps coming, but I will go to sleep and rest for a while and deal with it as I am strong.","original_text          Baby's been hysterical for hours. Desperately ...
reframed_text          The baby has been crying, and I took her to my...
strategy                                    ['neutralizing', 'optimism']
original_with_label    Baby's been hysterical for hours. Desperately ...
Name: 165, dtype: object"
166,166," orderIf I don't get outta bed I won't have to deal with this stupid headache that keeps coming..
reframed:I may have a headache from the stupid headache that keeps coming, but I will go to sleep and rest for a while and deal with it as I am strong.","original_text          What will you pick? Someone who is always ther...
reframed_text          I'm so confused about my relationship situatio...
strategy                                    ['optimism', 'thankfulness']
original_with_label    What will you pick? Someone who is always ther...
Name: 166, dtype: object"
167,167," orderIf I don't get outta bed I won't have to deal with this stupid headache that keeps coming..
reframed:I may have a headache from the stupid headache that keeps coming, but I will go to sleep and rest for a while and deal with it as I am strong.","original_text          When we are unable to find tranquillity within...
reframed_text          It is better to find peace within oneself befo...
strategy                                                    ['optimism']
original_with_label    When we are unable to find tranquillity within...
Name: 167, dtype: object"
168,168," orderIf I don't get outta bed I won't have to deal with this stupid headache that keeps coming..
reframed:I may have a headache from the stupid headache that keeps coming, but I will go to sleep and rest for a while and deal with it as I am strong.","original_text          When your boyfriend annoys you for no reason, ...
reframed_text          When your boyfriend annoys you for no reason, ...
strategy                                                ['impermanence']
original_with_label    When your boyfriend annoys you for no reason, ...
Name: 168, dtype: object"
169,169," orderIf I don't get outta bed I won't have to deal with this stupid headache that keeps coming..
reframed:I may have a headache from the stupid headache that keeps coming, but I will go to sleep and rest for a while and deal with it as I am strong.","original_text          For all you out there who work while pursuing ...
reframed_text          I have a new respect for people that both have...
strategy                                    ['optimism', 'thankfulness']
original_with_label    For all you out there who work while pursuing ...
Name: 169, dtype: object"
170,170," orderIf I don't get outta bed I won't have to deal with this stupid headache that keeps coming..
reframed:I may have a headache from the stupid headache that keeps coming, but I will go to sleep and rest for a while and deal with it as I am strong.","original_text          Too many people are in charge of the A/C - Hea...
reframed_text          I believe that if we talk to each other about ...
strategy                                      ['growth', 'neutralizing']
original_with_label    Too many people are in charge of the A/C - Hea...
Name: 170, dtype: object"
171,171," orderIf I don't get outta bed I won't have to deal with this stupid headache that keeps coming..
reframed:I may have a headache from the stupid headache that keeps coming, but I will go to sleep and rest for a while and deal with it as I am strong.","original_text          HOW THE HELL AM I SUPPOSED TO MAKE AN A IN THI...
reframed_text          Really finding this class hard I might go to t...
strategy                          ['growth', 'neutralizing', 'optimism']
original_with_label    HOW THE HELL AM I SUPPOSED TO MAKE AN A IN THI...
Name: 171, dtype: object"
172,172," orderIf I don't get outta bed I won't have to deal with this stupid headache that keeps coming..
reframed:I may have a headache from the stupid headache that keeps coming, but I will go to sleep and rest for a while and deal with it as I am strong.","original_text          Whoever is drilling and hammering or whatever ...
reframed_text          I hope they stop drilling and hammering in Har...
strategy                                ['impermanence', 'neutralizing']
original_with_label    Whoever is drilling and hammering or whatever ...
Name: 172, dtype: object"
173,173," orderIf I don't get outta bed I won't have to deal with this stupid headache that keeps coming..
reframed:I may have a headache from the stupid headache that keeps coming, but I will go to sleep and rest for a while and deal with it as I am strong.","original_text          Bored of not being able to sleep! What happene...
reframed_text          Missing the times of good sleeping. As everyth...
strategy                                    ['neutralizing', 'optimism']
original_with_label    Bored of not being able to sleep! What happene...
Name: 173, dtype: object"
174,174," orderIf I don't get outta bed I won't have to deal with this stupid headache that keeps coming..
reframed:I may have a headache from the stupid headache that keeps coming, but I will go to sleep and rest for a while and deal with it as I am strong.","original_text          aerlingus customer service ?Not sure where it ...
reframed_text          Having really awful customer service at the mo...
strategy                    ['neutralizing', 'optimism', 'thankfulness']
original_with_label    aerlingus customer service ?Not sure where it ...
Name: 174, dtype: object"
175,175," orderIf I don't get outta bed I won't have to deal with this stupid headache that keeps coming..
reframed:I may have a headache from the stupid headache that keeps coming, but I will go to sleep and rest for a while and deal with it as I am strong.","original_text          In a boiling hot radox muscle relax bubble bat...
reframed_text                           This bath will be very relaxing.
strategy                                                    ['optimism']
original_with_label    In a boiling hot radox muscle relax bubble bat...
Name: 175, dtype: object"
176,176," orderIf I don't get outta bed I won't have to deal with this stupid headache that keeps coming..
reframed:I may have a headache from the stupid headache that keeps coming, but I will go to sleep and rest for a while and deal with it as I am strong.","original_text          Only two weeks of school until winter break an...
reframed_text          I am stressed but the winter break will be in ...
strategy                                                    ['optimism']
original_with_label    Only two weeks of school until winter break an...
Name: 176, dtype: object"
177,177," orderIf I don't get outta bed I won't have to deal with this stupid headache that keeps coming..
reframed:I may have a headache from the stupid headache that keeps coming, but I will go to sleep and rest for a while and deal with it as I am strong.","original_text          i know when something is seriously wrong when ...
reframed_text          I know I''m in a badmood because the KUWTK isn...
strategy                                                    ['optimism']
original_with_label    i know when something is seriously wrong when ...
Name: 177, dtype: object"
178,178," orderIf I don't get outta bed I won't have to deal with this stupid headache that keeps coming..
reframed:I may have a headache from the stupid headache that keeps coming, but I will go to sleep and rest for a while and deal with it as I am strong.","original_text          Not even enough time for lunch! This job is ar...
reframed_text          I have little free time at work, and during it...
strategy                            ['impermanence', 'self_affirmation']
original_with_label    Not even enough time for lunch! This job is ar...
Name: 178, dtype: object"
179,179," orderIf I don't get outta bed I won't have to deal with this stupid headache that keeps coming..
reframed:I may have a headache from the stupid headache that keeps coming, but I will go to sleep and rest for a while and deal with it as I am strong.","original_text          I am so not the stressed woman in the Christma...
reframed_text          I have to learn to not give attention to ads f...
strategy                                            ['self_affirmation']
original_with_label    I am so not the stressed woman in the Christma...
Name: 179, dtype: object"
180,180," orderIf I don't get outta bed I won't have to deal with this stupid headache that keeps coming..
reframed:I may have a headache from the stupid headache that keeps coming, but I will go to sleep and rest for a while and deal with it as I am strong.","original_text          I want to bury myself into a hole and disappea...
reframed_text          My assessment is a good way to learn and educa...
strategy                                                      ['growth']
original_with_label    I want to bury myself into a hole and disappea...
Name: 180, dtype: object"
181,181," orderIf I don't get outta bed I won't have to deal with this stupid headache that keeps coming..
reframed:I may have a headache from the stupid headache that keeps coming, but I will go to sleep and rest for a while and deal with it as I am strong.","original_text          Why go to school when I could just light mysel...
reframed_text          Even though it's hard, school will help me be ...
strategy                                                    ['optimism']
original_with_label    Why go to school when I could just light mysel...
Name: 181, dtype: object"
182,182," orderIf I don't get outta bed I won't have to deal with this stupid headache that keeps coming..
reframed:I may have a headache from the stupid headache that keeps coming, but I will go to sleep and rest for a while and deal with it as I am strong.","original_text          man so tired after a day of school but can't s...
reframed_text          I would love to be finished with this night cl...
strategy                                                ['impermanence']
original_with_label    man so tired after a day of school but can't s...
Name: 182, dtype: object"
183,183," orderIf I don't get outta bed I won't have to deal with this stupid headache that keeps coming..
reframed:I may have a headache from the stupid headache that keeps coming, but I will go to sleep and rest for a while and deal with it as I am strong.","original_text          bad week just gets worse, 2014 get your act to...
reframed_text          This week wasn't the best, 2014 it's being a r...
strategy                                    ['neutralizing', 'optimism']
original_with_label    bad week just gets worse, 2014 get your act to...
Name: 183, dtype: object"
184,184," orderIf I don't get outta bed I won't have to deal with this stupid headache that keeps coming..
reframed:I may have a headache from the stupid headache that keeps coming, but I will go to sleep and rest for a while and deal with it as I am strong.","original_text          I just went back to school today And I'm alrea...
reframed_text          Well, just think by the end of next week we'll...
strategy                                                ['impermanence']
original_with_label    I just went back to school today And I'm alrea...
Name: 184, dtype: object"
185,185," orderIf I don't get outta bed I won't have to deal with this stupid headache that keeps coming..
reframed:I may have a headache from the stupid headache that keeps coming, but I will go to sleep and rest for a while and deal with it as I am strong.","original_text          I can't believe I left my history notebook wit...
reframed_text          I left my history notebook at school, but I’m ...
strategy                                    ['neutralizing', 'optimism']
original_with_label    I can't believe I left my history notebook wit...
Name: 185, dtype: object"
186,186," orderIf I don't get outta bed I won't have to deal with this stupid headache that keeps coming..
reframed:I may have a headache from the stupid headache that keeps coming, but I will go to sleep and rest for a while and deal with it as I am strong.","original_text          Want to stand on top of a hill and scream unti...
reframed_text          I want to stand on top of a hill and take in t...
strategy                                                    ['optimism']
original_with_label    Want to stand on top of a hill and scream unti...
Name: 186, dtype: object"
187,187," orderIf I don't get outta bed I won't have to deal with this stupid headache that keeps coming..
reframed:I may have a headache from the stupid headache that keeps coming, but I will go to sleep and rest for a while and deal with it as I am strong.","original_text          Why does the water softener have to be broken....
reframed_text          I have to maintain patience while doing my works.
strategy                                                      ['growth']
original_with_label    Why does the water softener have to be broken....
Name: 187, dtype: object"
188,188," orderIf I don't get outta bed I won't have to deal with this stupid headache that keeps coming..
reframed:I may have a headache from the stupid headache that keeps coming, but I will go to sleep and rest for a while and deal with it as I am strong.","original_text          I don't even think I broke out this bad back i...
reframed_text          Need to learn how to take better care of my fa...
strategy                                                      ['growth']
original_with_label    I don't even think I broke out this bad back i...
Name: 188, dtype: object"
189,189," orderIf I don't get outta bed I won't have to deal with this stupid headache that keeps coming..
reframed:I may have a headache from the stupid headache that keeps coming, but I will go to sleep and rest for a while and deal with it as I am strong.","original_text          I tell you and you get mad still ! Okay whatev...
reframed_text          At least I'm telling you, don't mind if you ge...
strategy                                                ['neutralizing']
original_with_label    I tell you and you get mad still ! Okay whatev...
Name: 189, dtype: object"
