,input,output,gt
191,"Wish I owned the wardrobe to Narnia, I could do with a secret escape to another world. fantasy",My wardrobe is such an exciting and exciting place to come!,"Wish I owned the wardrobe to Narnia, I can explore different places."
192,"Was so sad being in class today, doing my music exam knowing 5sos were in Scotland!! depression dilemma",It was pretty sad being in class today but I have to study and prepare for my test.,Missed out on 5sos today but I'm sure I have smashed my music exam.
193,Can I have a break with NO work-related calls and follow ups please???!!! toxic tired,I need to have more time to rest and recharge myself.,I would be too glad to have a break with no work-related calls and follow -ups as I am tired.
194,I'm in desperate need of a girls night. To just vent drink and let loose.,"It would be nice to have a girls night to just vent if I need to, but right now I really need to focus on myself and make myself a better person.","A great way to unwind is to have a girls night-out. It's all about gossip, drink and dance:)"
195,hello! sorry i havent been posting  i have finals next week and im like soooooo ill be posting regularly after next week!!,Exhausted from my finals next week. I should plan to post my abit all on social media.,"Hello! I temporarily haven't been posting due to exams and feeling under the weather, but I'll resume posting regularly after next week!!"
196,All i want is to see and hear my older brothers voice so i know hes okay. :( &DepressedToTheMax :'(,I hope I get to see my brother in the cinema so that I can enjoy him.,I would be happy to hear from my older brother to confirm that he is safe and sound.
197,Dress shopping with 3 girls fuck I should have thought this threw before I got in the car,I dress very well for these girls but I know I can do better than this.,"Even though girls take a long time to shop and I will be shopping with them, at least I will buy some stuff too so that's good."
198,My last college application is due in less than 3 hours and I have yet to complete my portfolio,"My college application is due in less than 3 hours, and I have yet to finish my portfolio.  But I'm confident that I'll be able to finish it.","I have three hours to complete my portfolio, then I have completed all my college applications."
199,"Everyday you wake up your destiny depends on what you do, sometimes I roll up when I'm stressed out, and sometimes I roll 2..","Everyone goes through the choices they have to make in life, I just need to be patient.","When I wake up I know it's going to be a great day. That's the mindset I tell myself, no need for drugs."
200,The RMC Internet going down the morning that I need to submit SURF stuff. ugh,The internet is down but I will make it to another time.,The RMC Internet going down the morning that I need to submit stuff. I think I have to find alternate way
201,Selling my house. Moving. Deciding who to live with. Oh and if I want to stay at union or go to broken arrow my senior year.,I am hoping to sell my house so that I can get a good future.,"Despite having many things to do, deciding for my future makes me happy, especially if I can choose things like my home, my roommates and my future college."
202,Why did I take up home Ec!!! stressed so hard never ends leavingcert hate screwed,It is necessary to take up extra hard copies of my homeEC and rest it.,"Home economics is very hard, but I'm glad it will be over eventually."
203,"One day at a time. In the end it'll be okayif it's not okay, it's not the end.",One day at a time. I hope everything work out as i hope.,"Just one day at a time, I'll be fine at the end."
204,Hubby and a friend are planning a road trip this weekend to the Isles. Thelma and Louise? He'll come back having bought a house!,"This is going to be a great time for everyone, I'll be glad when I have a trip to the Isles",Im happy my husband is having a break away
205,"Don't know who or what, but something/one doesn't want me to finish this project I'm working on So many things wrong with it!!",I have many things in my mind but I will finish it on time!,I'm having such a hard time on my project but I know that I'll push through it.
206,My job will be the death of me! I cannot handle being up till 4 with class the next morning tired TGIF,"I am tired of having to be up till 4 with class the next morning, but I know that when I get over it I can get much better.",I can't handle my job and class simultaneously. Waking up till 4 frustrates me.
207,"Due to the circumstances of today I think Bugers, Fries, and Wine will be on call. shouldworkout","People usually can't call out their friends, but I think they'll show up in time and be more timely.",After this tough day I will have a burger and fries. Tomorrow is a new day.
208,I think I just had a heart attack. WeTheNorth  as Toronto loses its collective mind.,The North lost its human drive but at least they will have learnt for next time.,"Things are crazy in Toronto at the moment, but they always settle down again, this won't last."
209,Tired CleaningMood. ii kinda wish i had to work this week to keep mi mind occupied on sumthin other tge negativitti,"I'm going to make my daily work better, so I can keep my mind busy.",I am going to start thinking more positively about every situation I encounter.
210,What a day. Half way done with everything I need to do just add 7 hours of work in the middle of it all,"It was just a hard day to complete all my work, but it is still a productive day.","After this day passes, I am going to take some time to relax myself."
211,I really wish i could go to the batting cages and just hit the crap out of some balls.,I hope I get into a better frame of mind so that I have more positive vibes in my life soon.,I’ll feel great when I get to go to the batting cages and hit some balls.
212,"Just sitting in my stats class working on my teach portfolio. Sorry prof, I can't focus today. finals",I can't focus on my study work because I'm sitting in my class and I have a lot of homework. I'll just have to push and relax.,"I have problems focusing now in stats class because of finals. But finals will be over soon, and I'll be back to normal."
213,So freaking frustrated and upset and I just kind of feel like a failure right now. WellIAm,"ive learned that failure is part of life, that really helps me to be more determined to get ahead.","I am feeling very frustrated right now, but I know it's ok to feel like this sometimes, tomorrow I will feel better"
214,I didn't even realize I was writing fuck every other word on my English paper,"I'm going to focus and write more of my English paper, so I can keep working!",I finally realized that I was writing bad words every other word and now I can stop it
215,Brain is frazzled. Poorly baby and now I'm cramming RIDDOR etc ready for tomorrow's interview with a view to start work Monday!,"Brain is really struggling, the interview with a view to the future is going to be tough, but I'm sure I can get everything done.",I'm cramming for the interview which I'm sure I'll nail!
216,I'm so over the rest of this semester and the next 2 years of nursing school,"There is so much work to be done in the next two years of nursing school, but I have the strength to handle it.",Only 2 more years left of school until I have my dream job!
217,Been scrap booking 3 days straight with sickness.. So tired Can I just be done?!,"ive been sick and have to plan my course, but I am sure that with some time I will be better able to do it.",Hopefully I can stop scrap booking while I am sick and get some energy back into my life.
218,Violently ill last night >;.>; threw up the happy meal I had :/ that with a head ach dont mix at all!,Violently ill last night. This makes me feel happy.,"I feel sick but usually I have gone through this kind of situation the next day, so I will be fine soon."
219,I really just want to go in the middle of a field and scream for about 10 min. frustrated restless,"I really just want to go in the middle of a field and scream for a while, and then I can feel amazing.",I think I would feel better if I go out into the field and scream for 10 minutes to vent out my feelings.
220,Really been spending too much time with my pals cos they're really pissing me off,I was able to spend time with my friends because I are so good friends.,"I'm spending too much time with my pals, and sometimes I feel they're annoying me. But still, I'm glad that I have them by my side."
221,"Hve a head cold, atm. You know that's when your body is telling you that you've been overworking and stressing yourself. downtime",heads tired and stressed but I'm sure that everything will get better eventually and I will feel better.,I've worked hard enough that I deserve some downtime to ease my stress.
222,It's too late to be up and too early for me to be up Here's to hoping the sandman pays me a visit,I'm going to be up and I'll be able to make some money selling my wares.,Really wish I was asleep but at least if I stay up tonight I will be exhausted tomorrow and have a good night sleep.
223,I would seriously pay someone to come over and give me a back massage,"I would pay someone to come over, and if I do that successfully I will get a massage.",I was so tired I think I need to get massage.
224,"Its gonna be one of those weeks, when you know youre gonna have a mental breakdown or two..",It ‘s going to be one of those weeks when you know youre having a mental breakdown or two but something tells me that I can pull through it.,"This week is one of the bad ones, but I think next week would hold something good in store for me."
225,Feeling stressed! I'll be glad when I'm in the house and paying the mortgage! This waiting to hear malarkey is driving me mad!,I'm getting a message from my neighbors helping me pay the mortgage!,"I am glad about paying the mortgage when I am in the house, but waiting to hear malarkey is something I don’t like."
226,Should really go to computers But after that class I want to go home and cry while hugging my dogs. pathetic,"I wish I could visit my friends and family when I feel down, overwhelmed, sad or anxious.",I should take rest after completing my class.
227,"14:34 for a mile and a half, my best time yet. Still nervous for Friday tho",I'm going to learn how to stay calm and just relax.,"I'm nervous but excited about the big race on Friday. I've trained hard and just broke a personal record, so I'm in great shape for the main event!"
228,I can't believe it's already going to be September tomorrow. ..time seriously needs to slow down right now!! :(,ive only had one day to sleep so I ‘ve prioritized other things to do for the next day. I hope to get some sleep.,It's almost going to be September soon but thankful for Christmas coming up.
229,Ugh ! Remind me not to volunteer to do apartment bldgs ! 90 papers took me 2 1/2 fucking hrs ! Totally pissed off and tired !,volunteers could do the apartment work in their free time.,Making buildings is difficult but it’s good because it brings a big reward.
230,Should be chilling in the sun instead I'm having to try find another dress incase mine doesn't arrive in time :( !,"I'm going to chill out and not be stressed out, I can find something a little cheaper to get my dress on the market.",I hope the dress I have ordered comes on time so that I can enjoy the sun like others are doing today.
231,I burned my face with my straightener. ThisNeverHappenedBefore Stressed don't be stressed smile lol,"I'm a bit stressed, but I have to be grateful for my smile.","An accident happened to me, sooner I'll be fine."
232,Raaaaa if this was to be the other way round all hell would have kicked off!!,"This was the only way round for hell, and it did not last forever.","Thankfully, it wasn't the other way around, everything happened correctly."
233,How many times will I learn the same lesson and still do the same mistake.. I pity myself :(,There always seems to be something going wrong in my life and I just hope it get better soon.,It's only a matter of time until I stop making this mistake on this same lesson.
234,"easy decision right Gotta be aztec4life RT: Man, this decision is getting harder and harder..","difficult as it is to make this decision, but I know I can make it.",Life's getting harder every day which means I am also getting smarter every day.
235,I hate being upset and annoyed. And I don't feel like doing anything today and I just woke up.,I am always upset and annoyed and I hope to get over it soon.,I will go back to sleep and feel better when I wake up.
236,I should probably start on all my homework and studying but first ill take a relaxing bath,I am glad I am able to take a bath on the lake.,I would be good if I start my homework and studying after a relaxing bath.
237,My mind feels as unsettled as my stomach It's going to be a long night. sick,"I am not in a good mood right now, but I am in a good mood.","My mind and my stomach are both unsettled tonight, but I hope the morning holds something good for me."
238,"to the max? You need extra B vitamins, C, magnesium, and selenium whenever your adrenals are being taxed, esp. long term. If you find yourself needing to nap, do so (when you can).Try not to rely on caffeine/stimulants just to push through and keep going.",I will be happy when I am done with my work and my mood improves.,"To get maximum results take extra B vitamins, C, magnesium, and selenium whenever you feel your adrenals are being taxed. Take naps when its appropriate and don't just rely on caffeine/stimulants to keep yourself going. I hope these tips will help!"
239,Its insane how the playoffs have an impact on how fast my heart is beating.,"The playoffs are really important, so I value them even more when they are postponed.",It's amazing how exciting the playoff is.
240,Is it bad that I don't know what major to choose for college and I graduate in a few months?,I will make a decision soon about my major.,I hope to choose my major for soon as my graduation is nearing.
241,Just because times are hard never give up God always comes through remember it doesn't rain forever woman man kids TeenMom teenagers gayrights abuseisnotagame,ive only been in one day where the tide is clear so I will not let it get bad.,"God always comes, remember that when it rains the rainbow comes out. We all have rights"
242,I have soo many things to do in such a short amount of time that it's just stupid,"I have soo many things to do in such a short time, but I am very sure that I can succeed in it.",I have a busy few weeks but I’m up to the challenge.
243,This Dubai rental story gives me so much unnecessary anxiety every year. When will these crazy landlords stop their antics!,they should take some time to understand the situation.,Landlords are always tough to handle but at least I have an interesting story from the experience.
244,I kno this is just another challenge god has for me to motivate me to work harder . It's hard but I'm determined . Prayers,"This challenge is tough, but I know that I can get through it, and I will kno the hard work.","I am grateful for always having God by my side even when I have a lot of work, I feel that in these difficult days a prayer improves everything."
245,"Dont call me ,Trailer Trash. My trailer is very clean and immaculately decorated. thursdaymorning sunset LoveIsNotTourism LGBTQ tuesdayvibes fridaymorning lifestyle Trends racism TuesdayMorning Tuesday thursdaymorning SatanicElite Weird StreamingNow","I really want to focus on my work now but, it can only be a very short period of my life and I’m not in the mood.",Living in a trailer does have its perks.
246,So want to have good grades and pass all my exams but at the same time I just Cba to put the time and effort in :( feels,"I'm confident that If I study enough and do well on my exams, then I will be as good as I want.",I hope to be done with my exams so that I get good grades and graduate soon.
247,Sometimes I wish I had someone who just made all the tough decisions in life for me. whattodo,I'm thankful for having someone who just makes everything tough for me.,It is tough to make tough decisions but that experience helps to mould you in life.
248,My chances of getting into the school in Canada are very slim But I don't want to live in California,"My chances of getting into the school in Canada are very slim, but I hope to live in California and I hope to get into school in Canada in a little while","Even though I can probably get into a school in Canada, I can think of several good points about going to California."
249,Too. Early. 3:30 am wake up call can't even. Also WHY DO I HAVE SO MUCH GREY HAIR stressed filmlife,"I have so much to do early in the day, that I'm going to fail my skills.",I've got a 3:30 am wake up call and my hair is turning grey. I'll look good as a silver fox.
250,Who would have ever guessed that it would be so freaking hard to get three different grades from two different schools together.,fml is not supposed to be an easy job but it’s an opportunity to learn where your weaknesses are.,"I didn't realize it would be such hard work to get three different grades from two different schools, but I'm thankful I'm at least able to attend these great institutions."
251,The moment you sit and ponder on decisions you're making and literally think WTF am I doing???? thestruggle,"I sit and think about my decisions and life, and I realize that it's not all easy, but there are things that are better.",When you think about the mistakes you made and realize that you're still here it's a good feeling.
252,Right now is the night I wish I had the special someone to talk to but nope I'm lonely like fuck !!,ive been so busy with school work but soon it will all be over and I can be free.,"I don't have a special someone to talk to right now, but I love myself and I know I can get through any situation!"
253,Too much to do constantly can't remember the last time I had a night where I didn't have work or some other brain numbing task,I hope to get a good night's sleep tonight so that I can have a good day tomorrow.,"Despite a lot of work I've been having lately, I must be grateful that I'm not idle."
254,I swear i hve never been thur so much bullshyt in my life untill i met my baby daddy,"I've never been so much in my life, but I'm going to give it a shot.","My baby daddy has some problems, but I tell myself that I can work through them."
255,Can't wait to be done with nursing school so my face will stop breaking out.,I am glad I finish my nursing school so that I can have a good rest afterwards.,"The nursing school might be hard but after I finish it, I will be more skilled."
256,Juggling 20 credit hours of school and 4 bar shifts in a row is no joke. tired,It's been a challenge working 40 hours of school and 4 shifts at the same time but it's all worth it.,Hours of school and 4 bar shifts in a row is no joke hope this situation change.
257,I'm going to cry this week I don't know when but it will happen.  school,"This week is going to be tough, but I know that these feelings won't last.",I look forward to the moments of joy this week will bring to me.
258,"Something's has to give somewhere along the lines, before I snap and go crazy. panic stressed",People can be so tense sometimes it's normal.,Very stressed out right now; got to make a big change for sanity.
259,"When you're not feeling so well and your neighbors start playing loud, annoying musicFeeling and Annoyed .",I hope my neighbors are not playing as loud as they should be playing.,My neighbors should learn to play their music softer.
260,Ugh I hate not being able to film videos especially for this long . Hopefully everything dies down soon,I can't wait to get my videos done and finished with this stressful week so that I can enjoy them.,"After it dies down, I can film my videos again."
261,I think the amount of stress I've been under causes heart attacks and mental illness,"I need to take better care of myself, so I don't get the number of times I get stressed.",It is true that stress causes heart attacks and illness.
262,Legit so pissed about today. I shouldn't have to work when it's not in my availability,I will be very grateful when it's in my hands.,I am not happy that I have to work outside my schedule but at least I'll get a bigger paycheck!
263,I don't think I'm gonna get to go home for Christmas this year and I feel oddly depressed but relieved about it lonelychristmas,I'm sure I can go home and get some Christmas time.,"I don't think I'm going to get to go home for Christmas this year, and that makes me feel bad. But also, that makes me feel relieved, and I'm thankful for that."
264,"Thought I'd have a stress free evening wrapping presents. Got that wrong, paper, ribbion and sellotape everywhere",I'm going to enjoy this weekend with some new wrapping presents.,Try to remember what those presents are for.  I'm sure the people who will get them will be very appreciative.
265,Meeting with a prof today and he didn't tell me why he wanted to meet. AmIInTrouble I feel like bad news is coming.,meeting with a prof today and he didn't tell me why he wanted to meet. I am sure that person is not doing a good job so I will just stay focused.,Meeting with a prof today who didn't tell me why he wanted to meet. Time to learn not to bother much about the outcome of such meetings.
266,My pre-law advisor hasn't emailed me back about my personal statements I I've resorted to sitting outside if his office,My pre-law advisor hasn't emailed me back about my personal statement I've used to sitting outside it. I'm going to hold off on it to get some help.,"I think my pre-legal consultant is busy, I will wait a little longer, soon he will answer me"
267,I hate that moment when your so frustrated that tears just start to flow out. Yet there is nothing you can do about it.,"I can't help my self-development by letting my tears flow, but instead I need to focus on the good thing.","There will always be bad and frustrating moments, but I need to raise my head and move on."
268,"sorry about all the complaining, i have a lot going on in my life, people dont understand",complaining is a good way to improve your life,It's okay for me to complain at the moment I need to look after myself and things will get better soon.
269,Pay a small fortune every month for my iMac.for it to turn black every 5 minutes.Scammed,"ive learned that a lot of people want a Mac, but i am thankful that i have the chance to work with a Mac.",I should get a better iMac as spending a fortune on the current one looks useless.
270,I can tell when I'm truly stressed because one day I'll forget to eat and the next I'll eat a whole pack of hot dogs in under 4 minutes.,I am not stressed about eating sometimes but I need to be more careful about not eating too much because I'm stressed.,Being stressed is part of the human life so I just got to get used to it.
271,Seriously my life sucks right now but the only thing I know to do is trust in god. faith,"ive been so patient with you, and I know that in some time this pain is going to be resolved, and I will be able to trust in God.","I'm sure everything will be ok, God is on my side, and he will make everything work out in the end."
272,Urgh is how I feel right now :-( few more weeks till uni is over. I cannot wait,I'm glad I get to focus and get my mind off school for a while.,"I don't feel alright now, but it is a few weeks until uni is over and all will be okay."
273,"Behind in math, no internet again, flat tire, work at 5. Hows your day going?",I may have dropped the internet but at least I have internet.,"Behind in math, no internet again, flat tire, work at 5. But I have to stay strong and keep going, because complaining is not going to take me anywhere."
274,Thought there was suppose to be a snow day.. My day is ruined. midterms tired,My day is ruined but I know that this pain will go away eventually.,"My midterms are still on, but at least the snow looks pretty."
275,I hate it when other people or companies mess up but im the one who feels guilty about it. Everyone expects me to have all the answers and be able to fix things with a click of my fingers. depression mentalhealth,"It would be nice to have some peace of mind when I don’t mess up but, I am thankful that I can change my bad.",I can't be so hard on myself for something that isn't my fault.  I just have to take things one at a time.
276,"I'm over people not sending it in but can ya at least text ,Facebook, tell someone in my family, anything to let me know ! Ugh!","I'm over people not sending it in but can ya at least text me, facebook, tell someone in my family, any tips.",Technology helps me to communicate with people.
277,My one complaint about college is all the annoying forms and wondering if you filled something out correctly.,My one complaint about college is all the annoying forms and I am happy to know that you fill it out.,I need to be more patient and understand that filling forms is part of entering a college.
278,How the Rangers AND Knicks can break my heart in the same day is absurd.,The problems of the teams and the Isles can be resolved in two days.,Both the Rangers and Knicks have disappointed me today. I hope they have better days ahead.
279,"I live two minutes from my office. Yet sometimes, it takes forever to get to work. I hate traffic",I would love to be done with my work now that I have two minutes to get to work.,Leaving my house earlier will help me get to work faster and avoid traffic.
280,If I make it through the next few weeks without an actual breakdown I will have achieved something,I'm working really hard right now to get through the next few weeks!,"I know I can survive the next few weeks, I need to be strong, I will don't collapse."
281,and Its Only Monday! Waaaah Think Ill Have A Cheeky Jerry Tonight To Soothe The Pain,I am so thankful that I am out of the pain that is the last place of solitariness.,Had a great day and I need to pamper myself today.
282,Dreamt last night I won a Fell Race and got disqualified for wearing bright orange track shoes with custom spikes?!,I'm so happy that I won the race and got the necessary attention.,Funny dream last night where I won a race but was dq'ed for custom shoes. Looks like I need to get more into fashion
283,"If you havent cried at LEAST 3 times today, are you really in grad school? lonely",It is normal to cry at LEAST 3 times in grad school.,"Grad school is tough but I really care about it, one of the most important things in my life is my education."
284,Hate being pissed off  need to go home to see mother Theresa and the father,I hope my mother and my dad reach home before the end of the week.,I need to learn how to relax and control myself! Everything happens for a reason!
285,Need to get crackin so I can get my own place and move the fuck out before I lose it. So much shit to do!,"ive been looking for a new place to move, and the frustration is making it hard. But I know that crackin will be worth it.","I will be able to move from this place to get my own soon, I just have to be patient."
286,Major prepping for my interview on Monday. By prepping of course I mean cramming as much research as I can into my tiny brain.,I must prepare myself for the interview I have on Monday.,"I am cramming my brain with so many things for my interview on Monday, but I am sure I will be the winner."
287,You KNOW you've had a bad day at work when a customer yells at you and looks like she's about to attack you.,"It was not a good day at work when a customer comes to tell me I looked like I was being a bit loud. But that was a good day at work, and I'll be fine.","Work was tough today but at least it's over now, and now I can relax tonight!"
288,anxious irritated panicky excited hopeful ambivalent wideawake oh! These mixed emotions are driving me crazy. T_T,ive been anxious and have to stay calm but the thought of being with someone is fresh in me.,Experiencing a set of strong emotions shows me that I still have the ability to feel.
289,Worst day of my life. Can't wait to go to bed and wake up and it be over! badluck,I'm glad I have a good day to go to bed before I get a second wind.,Today was one of the worst days of my life but I at least can wake up tomorrow.
290,Isis has eye drops 52 and willow is being booked for the 2nd. I also reserved dog harnesses. stressed but pups are,I will plan a surprise visit with my dog on the 2nd.,I have bad experience with dogs but some of them are kind.
291,I cant wait to get to that point in my life when Im thankful for all the hard times but for now I wouldnt mind those hard times easing up juuuuuust a tad.,ive only had one blip but I know that hard times are coming. I am awaiting for the break.,"I wish the hard times would ease up right now, but this will make the better times even better"
292,"If someone says one wrong thing, or I so as do something stupid, I will cry. And it will not be pretty.","People shouldn't expect me to feel good when something is wrong, and that's okay because I know it's my fault.",I hope a good night's sleep improves my mood and clears my head.
293,After weeks of not biting my nails I thought I had almost broken my habit But now I know I haven't,I’m not really feeling my best but after a few weeks I feel much better.,I completed several weeks of not bitting my nails!
294,Of course the truck would die on my way back to my parents house on the night I have a 3pg paper and two tests due by midnight.,Of course the truck would die on my way back to my parents house on the night I have a 3pg paper and two tests due by midnight. But at least I have a lot of fun at home with my amazing son.,Life is full of challenges but each challenge is a lesson and I will grow from my truck breaking and having to get this paper done.
295,All the MBA Management classes are taking all the professors and leaving no classes for undergrads and I feel like crying.,I feel like crying because all the classes are taking all the workload because of all the workload.,There aren't many undergrad classes this semester because the profs are all doing MBA Management classes. I'll use this as an opportunity to broaden my horizons.
296,When ur so stressed out and u feel like ur about to explode and just want to cry MeRightNow Tired HeartBroken,"I'm stressed and I feel like my heart is breaking, but I know that I will get a long rest and my body will be beautiful again.",When you are so busy that you just want to lie down and relax and forget all the worries.
297,i didn't think it would be this difficult to work while i was down here. the florida life is no joke.,I am grateful that I am still alive while I am down here.,"It is difficult to work right now, but the weekend will be coming up shortly!"
298,I give up I'm to tired to look! Round 2 of the passport search will start tomorrow sleep bed tired angry !!,I give up I'm to tired to look!Round 2 of the passport search will start tomorrow night.  I hope to finish it soon.,I am too tired to search now. I hope round 2 of passport search will be fruitful.
299,Husband just told me he was leaving me after 12 yrs and 4 kids .. guess nothing is what it seems to be .. single worried,"I have to control my work and my family, so I don't have to worry about them all.",I am grateful for 12 years and 4 kids with my husband but now a new chapter begins.. single and free.. nowd
300,there's always something I could be doing. I just usually choose not to do it.,People can be difficult sometimes.  I think it's normal for the human nature to be like that.,There's always something I could be doing. I'll just go do it.
301,some quite awkward conversations happening in the same day is a lot to take - have a feeling there'll be more to come too :/,I'm going to set an example that says I follow all my words and do not say anything else.,Daily some conversations may be awkward we should accept it.
302,men are such pains to clothes shop with neveragain .. cuppa tea and my monkey onesie are in order. x,"men are such a pain to clothes, can they make their own clothes for tomorrow?",I will get better at selecting clothes for men and not complain as much.
303,go out the weekend or have a few drinks in the house seeing as the mothers away? either way in getting drunk,hardweekend coming soon! Im so glad my mom is back and I have a nice drink to help me unwind.,I'll have a few drinks while I decide what to do for the weekend...
304,"Really need to get away, annoyed with these sleepless nights and hassle all the time. angry annoyed just wanna be myself again","I'm going away with my anxiety, but I'm sure I can find something else to cheer me up.",I know that all the hard-work I put today will be tomorrow's joy!
305,The weight off my shoulders doesnt take away the sick feeling in my stomach nervous,I'm feeling strong at the moment but I know that this will pass and I'll be stronger.,I hope the lingering knot in my stomach goes in the coming few days.
306,Everyone tweeting about how it's summer for them mean while I still have two exams ugh,I will complete my exams soon!,Just two exams and I can enjoy summer along with everybody else.
307,Its seriously like an up and down roller coaster of emotion if I want the end of the year to come or not just wanna stay young!,"I am looking forward to the end of the year, which will be awesome coming up!","Since I can't control what I feel, I decide to learn from what I'm feeling!"
308,Can somebody please dig me a hole so I can lay in it and never come out. sad confused,I'm sure glad I have people to look out for me right now.,"I understand that feeling sad is normal, so I'll accept that I'm feeling that way, and look for the best way to feel better"
309,I hate teachers who make my but a book but then make their lectures and study guides completely different,"I don’t like the teachers who make my books and study guides, but I know I can change the course in no time, as long as I try.",Lectures and study guides completely different I think I have to follow one thing
310,"Had a Scooby-Doo/Hunger Games dream with ghosts, amusement parks, stabbing, and a guy in a cake costume with real",When I got to go to the kitchen I found some interesting properties that I wanted to take with me.,I had a fun dream about scooby-doo!
311,Cold sore the week of prom? Why don't I just stick a fork through my eye as well.,I am cold sore the week of prom? I am a great big fan of my friends.,"Cold sore the week of prom? That's not good, but I'm sure I'll be better when the day comes."
312,Got to finish this damn homework TODAY!! stressed On a positive note it's FRIDAY and the first of the month!!,This homework load is teaching me patience! It will be the first half of the month and I can relax!,At the end of the day I will have finished the homework and I can enjoy the weekend stress free.
313,Attempted to eat but only ate half an egg scrambled 2 pieces of Bacon half an English muffin and 3 bites of a banana &,"I had to go to the doctor to see if I ate half an egg and 3 pieces of Bacon. I'm ok, I suppose, I didn't eat all the fatty foods.",I am happy that I could eat half an egg scrambled 2 pieces of Bacon half an English muffin and 3 bites of a banana .
314,I seriously need a spa day. Need to start looking for deals. A massage and facial is much needed. tired,I would love a relaxing spa day to pamper myself.,"I'm tired, but I can't wait for a spa day.  I'm so excited to just take a break!"
315,Its like Friday righ now with the stock market like wtf is going on Lmaoo,"stocks seem to be going up, but the NASH is stressful. I bet there is another tomorrow that will hold the stock up.","It may be a confusing time, but I know that I can remain calm in the storm."
316,Midnight walks to clear up your head from all that studying is always somewhat refreshing,midnight walking to clear up your head from all that studying is always somewhat refreshing.,A midnight walk to clear up the head from studying is refreshing.
317,My decision making skills are awful and in times like these I wish someone knew the future and could tell me what I need to do..,"My decision making skills are awful and in times like these I wish someone knew the future, but I wish I knew the answers.",I am fortunate that my parents are always there for me to help me out with good advice.
318,Seriously wish I could sleep from now and wake up on the 19th December!! So much to do!,I am going to wake up on the 19th December and finish my work just as soon as possible.,I have a lot to do but soon it will be the 19th and I'll get to relax!
319,"Why is Chislehurst only 15min parking for under 5 spend, only needed few items but not familiar with store,only two tills open queue at SS, Ive trouble walking, blue badge!",It would be nice if the restaurant was open 24hrs. But it wouldn't be so bad since there are only two tills open at the same time.,Chislehurst onky has 15 min parking for under 5 spend so I will use it as an excuse to get some retail therapy and buy some more!
320,I need a Floridian to teach me how to Bobble and Sexy WalkI hate going home and being behind,I need aFloridian to teach me how to Bobble and get some good marks.,I will learn how to do Bobble and Sex Walk and I will be on an equal footing with everyone
321,And here we go again with six days working in a row. thursdayhurry tired money,I'm so glad I'm done with my work so that all my hard work will pay off.,"I'm working againg 6 days in a row, but I'm making a lot of money"
322,Writing today off as a fail! Why is it always the case when one thing goes wrong everything does! fail,"I have to work hard to make my assignments do, I can't wait to get this paper behind my back.",Today has gone badly; troubles have piled up. I need to manage trials better.
323,"So sick of finding pure white hairs, curse of the aging ginge. I'm only 28! gettingold",I should stop looking for my dead man and wish everyone would understand why I am so sick.,"I am finding pure white hairs more often now, I'm sure It's natural occurance though."
324,My excitement for beyonce is being crushed by this Econ final on Friday as well terrified,"My excitement about the finals on Friday is getting crushed by this Econ final on Friday. But I'm so happy, I know it's just my anxiety, and all of it will pass, and I'll be okay.","Worried about my Econ final on Friday, thankfully I can listen to Beyonce while I study,"
325,I've been awake for close to an hour and a half and I don't think there's any way I'm getting back to sleep,I wake up feeling like an adrenaline junkie right now but at least I get to go back to my bed now.,I have been awake for almost an hour and I hope to fall asleep soon
326,I have been studying so hard this whole week.. I literly can't wait for school to be over..,I have been studying really hard this week. The greatest satisfaction is when the school week is over.,"I have been studying so hard this whole week, and I can't wait for school to be over. But I'm happy with my effort, and grateful for everything I learned."
327,"I work 28 hours this weekend, have to write two papers, and study for an exam.",I work really hard to make my best and I've done a good job.,I am going to get through this stronger.
328,Just looking at my schedule and realized that this is going to be a rough 4 months,I hope the next 4 months go smoothly so that I can get through this.,"Just looking at my schedule and realized that this next 4 months are going to be really challenging, but I know I will come through!"
329,"who's that? RT: weenda I'm stressed,, thinking about which one will debut and which one will breaking up,,",It will be a challenge to choose the best one for me.,Being stressed before a debut is normal so there is nothing wrong.
330,It's like every bad thing that's gonna happen has to happen all at the same time,every bad thing that's gonna happen is at the same time. I'm just going to accept it.,"Sometimes it feels like bad things happen all at once, so I just need to focus on one thing at a time.  That way I don't stress myself out."
331,this has got to be a joke! there's only 5 more weeks of the semester left?!?!?!?!,There's only 5 more weeks left until the semester is over!,It may seem like a joke but the fact is that there are only 5 weeks left for the semester.
332,"I better not be getting sick, too much stuff happening this week, as it is","ive gotten a lot of stuff this week, it is good that I am going to restock my time with some good friends.","With so many things happening this week, I hope to keep in good health."
333,What's the opposite of sleeping like a baby? Because that's me as of late tired,I'm thankful my mom wants to take care of me after everything I've done this weekend.,"I have not been sleeping like a baby lately, but I will find a way to not be so tired."
334,Still can't believe all that happened last night Now on my way to the ACT,"I knew all that was happening was bad for me, but I only had to go through it because of school.",Even after everything that happened last night I will move ahead stronger!
335,Why is it when you're in a rush every other car has to drive so slow?!  COME ON,I'm glad I have the opportunity to take some rest and be fresh out of my rush.,I will learn how to be more patient. I understand that some people are more energetic than others during the morning.
336,When i finally feel a little chilled in the bath my bloody nose starts to bloody bleeding.. ShitMonday,feeling a bit chilled at the moment but I'm sure this will pass,"My nose started bleeding in the bathtub, but luckily I have tissues nearby to stop the bleeding. Thankful!"
